Question,(a),(b),(c),(d),Correct Answer,Correct Option
"What will be the output of this statement?

print (r""\njavat\npoint"")  ",(A)\nneynd\nhhhgo,(B)\narjvu\ncukir,(C)\njavat\npoint,(D)\nwjjnr\nwarta,\njavat\npoint,(C)
"What will be the output of the following Python expression?

X = 2+9*((3*12)-8)/10
print(X)",(A)27.,(B)83.,(C)03.,(D)39.,27.,(A)
"What will be the output of the following Python expression?

x = int(43.55+2/2)
print(x)",(A)14,(B)39,(C)76,(D)44,44,(D)
"What will be the output of the following Python expression?

24//6%3, 24//4//2",(A)7 0,(B)0 5,(C)1 3,(D)5 2,1 3,(C)
"What will be the output of the following Python expression?

x=float(4+int(2.39)%2)
x",(A)1.,(B)8.,(C)5.,(D)4.,4.,(D)
"What will be the output of the following Python statement?

print(""a""+""bc"")",(A)abc,(B)lve,(C)rjo,(D)adg,abc,(A)
"What will be the output of the following Python statement?

print(""abcd""[2:])",(A)cw,(B)bz,(C)cd,(D)dm,cd,(C)
"What will be the output of the following Python code?

>>> str1 = 'hello'
>>> str2 = ','
>>> str3 = 'world'
>>> print(str1[-1:])",(A)d,(B)q,(C)o,(D)n,o,(C)
"What will be the output of the following Python code?

print (r""""\nhello"""")",(A)\nadnll,(B)\nhello,(C)\nvggax,(D)\nsdwqa,\nhello,(B)
"What will be the output of the following Python statement?

>>>print('new' 'line')",(A)eegmayh,(B)zsobdwf,(C)ldwangj,(D)newline,newline,(D)
" What will be the output of the following Python statement?

>>>print('new' 'line')",(A)gsxngox,(B)newline,(C)txrdkzd,(D)wqpkujt,newline,(B)
"What will be the output of the following Python code?

>>>str1=""""helloworld""""
>>>print(str1[::-1])",(A)ahqejibcwm,(B)dlrowolleh,(C)oeayqjwqmh,(D)psixcnrqkm,dlrowolleh,(B)
"What will be the output of the following Python code?

print(0xA + 0xB + 0xC)",(A)33,(B)91,(C)24,(D)81,33,(A)
"What will be the output of the following Python code snippet?

print('abcdef12'.replace('cd', '12'))",(A)cx01iy13,(B)ab12ef12,(C)sg97ry79,(D)dc69ox18,ab12ef12,(B)
"What will be the output of the following Python code?

names1 = ['Amir', 'Bala', 'Chales']
 
if 'amir' in names1:
    print(1)
else:
    print(2)",(A)2,(B)7,(C)3,(D)4,2,(A)
"What will be the output of the following Python code?

names1 = ['Amir', 'Bala', 'Charlie']
names2 = [name.lower() for name in names1]
 
print(names2[2][0])",(A)c,(B)t,(C)s,(D)n,c,(A)
"What will be the output of the following Python code?

numbers = [1, 2, 3, 4]
 
numbers.append([5,6,7,8])
 
print(len(numbers))",(A)1,(B)8,(C)5,(D)3,5,(C)
"What will be the output of the following Python code?

list1 = [1, 2, 3, 4]
list2 = [5, 6, 7, 8]
 
print(len(list1 + list2))",(A)1,(B)4,(C)8,(D)9,8,(C)
"What will be the output of the following Python code?

def addItem(listParam):
    listParam += [1]
 
mylist = [1, 2, 3, 4]
addItem(mylist)
print(len(mylist))",(A)4,(B)7,(C)0,(D)5,5,(D)
"What will be the output of the following Python code?                                                                        >>>t=(1,2,4,3)
>>>print(t[1:3])","(A)(6, 0)","(B)(6, 1)","(C)(7, 1)","(D)(2, 4)","(2, 4)",(D)
"What will be the output of the following Python code?>>>t = (1, 2, 4, 3, 8, 9)
>>>print([t[i] for i in range(0, len(t), 2)])","(A)[4, 3, 3]","(B)[1, 4, 8]","(C)[2, 4, 2]","(D)[2, 1, 3]","[1, 4, 8]",(B)
"What will be the output of the following Python code?

>>>t1 = (1, 2, 4, 3)
>>>t2 = (1, 2, 3, 4)
>>>print(t1 < t2)",(A)False,(B)Ftnuf,(C)Flszl,(D)Fbacx,False,(A)
"What will be the output of the following Python code?

>>>my_list = [1, 2, 3, 4]
>>>my_list.append( [5, 6, 7] )
>>>print(len(my_list))",(A)6,(B)4,(C)5,(D)3,5,(C)
"What will be the output of the following Python code?

>>> a=(4,5,6)
>>> b=(2,8,6)
>>> print(a+b)","(A)(3, 2, 2, 9, 2, 0)","(B)(1, 0, 9, 0, 3, 0)","(C)(3, 7, 8, 9, 7, 8)","(D)(4, 5, 6, 2, 8, 6)","(4, 5, 6, 2, 8, 6)",(D)
"What will be the output of the following Python code?

a = [5,5,6,7,7,7]
b = set(a)
def test(lst):
    if lst in b:
        return 1
    else:
        return 0
for i in  filter(test, a):
    print(i,end="""" """")",(A)5 5 6 7 7 7,(B)1 2 6 3 8 5,(C)0 7 7 1 2 2,(D)9 7 3 9 6 8,5 5 6 7 7 7,(A)
"What will be the output of the following Python code?

print('*', """"abcde"""".center(6), '*', sep='')",(A)*hsgtv *,(B)*cvhtw *,(C)*igluc *,(D)*abcde *,*abcde *,(D)
"What will be the output of the following Python code snippet?

print('abcd'.translate('a'.maketrans('abc', 'bcd')))",(A)bcdd,(B)zkzc,(C)kpqz,(D)sgcn,bcdd,(A)
