Question,Ruleset
"What will be the output of this statement?

print (r""\njavat\npoint"")  ","-- Text ends with ""?""
-- code starts with a keyword ""print"""
"What will be the output of the following Python expression?

X = 2+9*((3*12)-8)/10
print(X)","-- Text ends with ""?""
-- X is a letter followed by ""="" followed by a number
-- print is a keyword"
"What will be the output of the following Python expression?

x = int(43.55+2/2)
print(x)","-- Text ends with ""?""
-- X is a letter followed by ""="" followed by a keyword ""int""
-- print is a keyword"
"What will be the output of the following Python expression?

24//6%3, 24//4//2","-- Text part ends with ""?""
-- Number 24 is followed by // followed by a number 6."
"What will be the output of the following Python expression?

x=float(4+int(2.39)%2)
x","-- Text part ends with ""?""
-- float keyword
-- print keyword"
"What will be the output of the following Python statement?

print(""a""+""bc"")","-- Text part ends with ""?""
-- Letter ""a"" followed by an operator ""+"" followed by a letter ""b"""
"What will be the output of the following Python statement?

print(""abcd""[2:])","-- Text part ends with ""?""
-- ""abcd"" letters followed by ""["" followed by a number 2 followed by "":"" followed by ""]"""
"What will be the output of the following Python code?

>>> str1 = 'hello'
>>> str2 = ','
>>> str3 = 'world'
>>> print(str1[-1:])","-- Text part ends  with ""?""
-- str1 followed by ""="" followed by 'hello' - Code"
"What will be the output of the following Python code?

print (r""""\nhello"""")","-- Text part ends with ""?""
-- print keyword followed by special characters like \ and """"  = code"
"What will be the output of the following Python statement?

>>>print('new' 'line')","-- Text part ends with ""?""
-- print keyword followed by special characters ( ' ' ) and letters = code"
" What will be the output of the following Python statement?

>>>print('new' 'line')","-- Text part ends with ""?""
-- print keyword followed by special characters (), \, numbers and letters = code"
"What will be the output of the following Python code?

>>>str1=""""helloworld""""
>>>print(str1[::-1])","-- Text part ends with ""?""
-- str1 followed by ""="" followed by letters in quotations = code"
"What will be the output of the following Python code?

print(0xA + 0xB + 0xC)","-- Text part ends with ""?""
-- print keyword followed by special characters, letters and numbers = code"
"What will be the output of the following Python code snippet?

print('abcdef12'.replace('cd', '12'))","-- Text part ends with ""?""
-- print keyword followed by special characters, numbers and letters
-- replace keyword"
"What will be the output of the following Python code?

names1 = ['Amir', 'Bala', 'Chales']
 
if 'amir' in names1:
    print(1)
else:
    print(2)","-- Text part ends with ""?""
-- names1 followed by ""="" followed by [ '....',  '.....', '.......'] structure for list  = code
-- if 'amir' in names1: structure for if statement = code
-- print keyword = code
-- else: structure for else statement = code
-- print keyword = code"
"What will be the output of the following Python code?

names1 = ['Amir', 'Bala', 'Charlie']
names2 = [name.lower() for name in names1]
 
print(names2[2][0])","-- Text part ends with ""?""
-- names1 followed by ""="" followed by [ '.......', '........', '........' ] structure for list = code
-- names2 followed by ""="" followed  by [ '.......', '........', '........' ] structure for list = code
-- print keyword = code"
"What will be the output of the following Python code?

numbers = [1, 2, 3, 4]
 
numbers.append([5,6,7,8])
 
print(len(numbers))","-- Text part ends with ""?""
-- numbers  = [1,2,3,4] structure for list = code
-- numbers followed by keyword append = code
-- print keyword = code"
"What will be the output of the following Python code?

list1 = [1, 2, 3, 4]
list2 = [5, 6, 7, 8]
 
print(len(list1 + list2))","-- Text ends with ""?""
-- list1 = [1,2,3,4] structure of list = code
-- list2 = [5,6,7,8] structure of list = code
-- print keyword followed by special characters and operators = code"
"What will be the output of the following Python code?

def addItem(listParam):
    listParam += [1]
 
mylist = [1, 2, 3, 4]
addItem(mylist)
print(len(mylist))","-- Text ends with ""?""
-- def keyword followed by structure of a function = code
-- listParam += [1] contains operators and numbers = code
-- mylist = [1, 2, 3, 4] structure of list = code
-- addItem keyword = code
-- print keyword = code"
"What will be the output of the following Python code?                                                                        >>>t=(1,2,4,3)
>>>print(t[1:3])","-- Text ends with ""?""
-- t = (1,2,4,3) structure of tuple = code"
"What will be the output of the following Python code?>>>t = (1, 2, 4, 3, 8, 9)
>>>print([t[i] for i in range(0, len(t), 2)])","-- Text ends with ""?""
-- t = (1,2,4,3,8,9) structure of tuple = code
-- t[i] contains square brackets followed by structure of for loop = code"
"What will be the output of the following Python code?

>>>t1 = (1, 2, 4, 3)
>>>t2 = (1, 2, 3, 4)
>>>print(t1 < t2)","-- Text ends with ""?""
-- t1 = (1,2,4,3) structure of a tuple = code
-- t2 = (1,2,3,4) structure of a tuple = code
-- t1 < t2 structure of a comparison operation = code"
"What will be the output of the following Python code?

>>>my_list = [1, 2, 3, 4]
>>>my_list.append( [5, 6, 7] )
>>>print(len(my_list))","-- Text ends with ""?""
-- my_tuple = (1,2,3,4) structure of tuple = code
-- my_tuple followed by append keyword followed by numbers and brackets = code
-- print keyword = code"
"What will be the output of the following Python code?

>>> a=(4,5,6)
>>> b=(2,8,6)
>>> print(a+b)","-- Text part ends with ""?""
-- a={4,5,6} structure of a set = code"
"What will be the output of the following Python code?

a = [5,5,6,7,7,7]
b = set(a)
def test(lst):
    if lst in b:
        return 1
    else:
        return 0
for i in  filter(test, a):
    print(i,end="""" """")","--English part ends with ""?"" 
-- ""="" operator is used "
"What will be the output of the following Python code?

print('*', """"abcde"""".center(6), '*', sep='')","""print(""   is the keyword"
"What will be the output of the following Python code snippet?

print('abcd'.translate('a'.maketrans('abc', 'bcd')))","--English part ends with ""?""
--""print("" is a keyword"
"What will be the output of the following Python code?               
def sayHello():                                                          print('Hello World!') 
sayHello() 
sayHello()","--english part ends with ""?""
--'def' is a keyword
--'print'is a keyword"
"""What is the average value of the following Python code snippet?
>>>grade1 = 80
>>>grade2 = 90
>>>""abf""
>>>print((grade1 + grade2) / 2)","english part ends with ""?"" 
'average ' is a keyword"
What will be the correct answer for the folowing expression:  (3-17)*9.5/(-12+-8),
What will be the correct answer for the folowing expression:  (18/16.1+15)/1.5/-13.4,
What will be the correct answer for the folowing expression:  (-15-17.6)/(-7*-13+-16+19.2),
What will be the correct answer for the folowing expression:  -19/-4+10.7/-19--18,
What will be the correct answer for the folowing expression:  -10.2**(-13*12)/(-17.3+-9.2/14),
What will be the correct answer for the folowing expression:  (-13--19-12)/1.8,
What will be the correct answer for the folowing expression:  20.0+2.4/-13*14,
What will be the correct answer for the folowing expression:  (20/4.0+2)/-11/6.0,
What will be the correct answer for the folowing expression:  (18--10.0-14)/20**8/19.4,
What will be the correct answer for the folowing expression:  -6--18/14.4*16.0,
What will be the correct answer for the folowing expression:  (-5--13.5)/(16.5-19*4.1),
What will be the correct answer for the folowing expression:  (12-16+18)/-11,
What will be the correct answer for the folowing expression:  -18+-10*-2.0/7,
What will be the correct answer for the folowing expression:  (5.4+-7--10.1)*(19.4*-19-17.2),
What will be the correct answer for the folowing expression:  -13*-6*(20+19.2)+-14.3*14.9+17,
What will be the correct answer for the folowing expression:  17.5-15**-11*(-19.7+5),
What will be the correct answer for the folowing expression:  -15.5-7.1/12.8*16**-12,
What will be the correct answer for the folowing expression:  (-4/10/-17.1)**(17.5+11),
What will be the correct answer for the folowing expression:  (-1.0--7/-15.7)/(-19.3/-11--10.2),
What will be the correct answer for the folowing expression:  8*-6*2,
What will be the correct answer for the folowing expression:  6.4/0.9--7-8,
What will be the correct answer for the folowing expression:  (20/8/1.3)**(-4+4),
What will be the correct answer for the folowing expression:  (-18+20+1.8)/(10.2-17-5*-6.7),
What will be the correct answer for the folowing expression:  -3/0.1/10*1**13,
What will be the correct answer for the folowing expression:  (-10/-17)**8/2**-16/0.5,
What will be the correct answer for the folowing expression:  (17.4/-2--6)*(-9-7*-16),
What will be the correct answer for the folowing expression:  -13.0--14*-14+-13,
What will be the correct answer for the folowing expression:  (7.8+1.2/-7)/(-7/11-4--14.2),
What will be the correct answer for the folowing expression:  -6.9+(10.2*12)**(4.2/8),
What will be the correct answer for the folowing expression:  19/-0.4/-10,
What will be the correct answer for the folowing expression:  (-7/-18.1)**(10--13.0),
What will be the correct answer for the folowing expression:  -7*1+(3.9+6)*-6.2**-18,
What will be the correct answer for the folowing expression:  -15.2--13.6-20+5.7/10.3,
What will be the correct answer for the folowing expression:  (-8*17/16.3)**-8,
What will be the correct answer for the folowing expression:  -16**-16/(6.7**-16-9.2*-12),
What will be the correct answer for the folowing expression:  (7+15.3-14/-7)*14.7/-13/-14,
What will be the correct answer for the folowing expression:  -3.2+11/-6/-19.8*-18,
What will be the correct answer for the folowing expression:  2/-11.5/(-3-6-10.3/11),
What will be the correct answer for the folowing expression:  11.0/(4.8--8.9)*10,
What will be the correct answer for the folowing expression:  (-13+-5+16)/(16.1/-2.0+-10.1),
What will be the correct answer for the folowing expression:  -15.5/15/14/-17.3,
What will be the correct answer for the folowing expression:  (18--2.1)/(16--1)*15/-7/15.1,
What will be the correct answer for the folowing expression:  (-18.0/-15.5+-11.5)/18,
What will be the correct answer for the folowing expression:  (2.6+9)/(2+-4.9)/15.7*-13.4,
What will be the correct answer for the folowing expression:  -12*0.7+9.8/-17.1*-5,
What will be the correct answer for the folowing expression:  7+-7.2/-0.8+3.6**(-2.5/15),
What will be the correct answer for the folowing expression:  16/-13/-10.1--2+-14--13,
What will be the correct answer for the folowing expression:  (-1.3+-19.1)/20/12.2+3.9,
What will be the correct answer for the folowing expression:  (-18+-2.3)*2*13/(15.1+2.4/17),
What will be the correct answer for the folowing expression:  -4.8/(-16/3.1-13.8/-10.8),
What will be the correct answer for the folowing expression:  17.8/-19/(20/6.3-20),
What will be the correct answer for the folowing expression:  14.5-7*10.0--9--8.6+-1,
What will be the correct answer for the folowing expression:  -17.3--18.6--17.6**(0/-14.5),
